Manchester United,1,de Gea,David
Manchester United,2,Rafael,
Manchester United,3,Shaw,Luke
Manchester United,4,Jones,Phil
Manchester United,5,Rojo,Marcos
Manchester United,6,Evans,Jonny
Manchester United,7,Di Maria,Angel
Manchester United,8,Mata,Juan
Manchester United,9,Falcao,Radamel
Manchester United,10,Rooney,Wayne
Manchester United,11,Januzaj,Adnan
Manchester United,12,Smalling,Chris
Manchester United,13,Lindegaard,Anders
Manchester United,14,Hernandez,Javier
Manchester United,16,Carrick,Michael
Manchester United,17,Blind,Daley
Manchester United,18,Young,Ashley
Manchester United,20,van Persie,Robin
Manchester United,21,Herrera,Ander
Manchester United,22,Powell,Nick
Manchester United,23,Cleverley,Tom
Manchester United,24,Fletcher,Darren
Manchester United,25,Valencia,Antonio
Manchester United,28,Anderson,
Manchester United,29,Zaha,Wilfried
Manchester United,31,Fellaini,Marouane
Manchester United,32,Valdes,Victor
Manchester United,33,McNair,Paddy
Manchester United,35,Lingard,Jesse
Manchester United,36,Vermijl,Marnick
Manchester United,37,Janko,Saidy
Manchester United,38,Keane,Michael
Manchester United,40,Amos,Ben
Manchester United,41,James,Reece
Manchester United,42,Blackett,Tyler
Manchester United,44,Pereira,Andreas
Manchester United,48,Keane,Will
Manchester United,49,Wilson,James
Manchester United,50,Johnstone,Sam
